"","Alcohol","Attire","BYOB","BYOB_corkage","Corkage","Delivery","Dietary","Dogs","Drivethru","attributes_Good.For","Dancing","Groups","Happy_hour","TV","Music","Noise","Outdoor","Parking","Payments","Price","Smoking","Takeout","Reservations","Waiters","Wheelchairs","Wifi","business_id","categories","city","latitude","longitude","name","neighborhoods","open","review_count","stars","state","Accepts_CC","Romantic","Intimate","Touristy","Hipster","Divey","Classy","Trendy","Upscale","Casual"
"112","none","casual",NA,NA,NA,TRUE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","quiet",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}","",1,NA,TRUE,FALSE,FALSE,TRUE,NA,"oX6KamASYXnMIe5kpVhezw","Chinese,Restaurants","Madison",43.120575,-89.3083769,"Flaming Wok","Mayfair Park",TRUE,20,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"117","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,NA,"","average",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,NA,TRUE,TRUE,NA,"S4TWo9X6b3gU6uucj4JN3g","Mexican,Restaurants","Madison",43.120577,-89.314621,"Laredo's","Mayfair Park",TRUE,19,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"118","none","casual",FALSE,"yes_free",FALSE,TRUE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,FALSE,NA,FALSE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,FALSE,TRUE,"no","xZwaUcrFMSY1O9dK2dAUpA","Chinese,Restaurants","Madison",43.0944782495,-89.3636251241,"China Wok","",TRUE,17,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"136","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","quiet",FALSE,"{u'garage': False, u'street': True, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,FALSE,TRUE,NA,"cpGv6ES2hzPCtCUQgipwXw","Sandwiches,Cajun/Creole,Seafood,Restaurants","Madison",43.0984345318,-89.3644666672,"New Orleans Take-Out","",TRUE,43,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"138","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'brunch': False, u'breakfast': False}",NA,TRUE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,FALSE,TRUE,FALSE,"no","wPidHd5FxspPRgVqdEQ-Xw","Mexican,Restaurants","Madison",43.1146494,-89.3257337,"Pedro's Mexican Restaurante","Hawthorne",TRUE,48,2.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"151","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",FALSE,TRUE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,NA,TRUE,TRUE,NA,"oudTF4EN_C8thENGiTQf-w","Bars,American (New),Nightlife,Restaurants","Madison",43.1266792,-89.3087635,"Chili's","",TRUE,9,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"171","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"no","v5a-Mj4eO1E--HmgwEWo7A","Seafood,American (Traditional),Restaurants","Madison",43.128034,-89.307157,"Red Lobster","",TRUE,16,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"173","full_bar","casual",FALSE,NA,FALSE,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'brunch': False, u'breakfast': False}",FALSE,TRUE,TRUE,TRUE,"{u'dj': False, u'live': False, u'video': False, u'jukebox': True}","average",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,"no",TRUE,FALSE,TRUE,FALSE,"free","HTplzElel_F_U_qhWuDKdg","Pubs,Bars,American (New),Nightlife,Restaurants","Madison",43.103498,-89.35019,"Dexter's Pub","Eken Park",TRUE,53,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"188","beer_and_wine","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","quiet",FALSE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}","",1,NA,TRUE,FALSE,TRUE,TRUE,NA,"uzJ2Vefb951El2oneQI8NQ","Chinese,Restaurants","Madison",43.0923931,-89.3537541,"Wong's Garden","Schenk - Atwood,Williamson - Marquette",FALSE,19,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"214","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"",NA,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"no","68JsiWNLKs8NDCrBCxIWMA","Steakhouses,Restaurants","Madison",43.111265,-89.363442,"Esquire Club","Sherman",TRUE,19,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"231","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,FALSE,NA,FALSE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,FALSE,FALSE,TRUE,"no","HLWtNcf3l-wKb6v9duteMQ","Barbeque,Restaurants","Madison",43.123698,-89.355581,"Smoky Jon's #1 BBQ","Sherman",TRUE,112,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"265","beer_and_wine","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,NA,TRUE,TRUE,"no","spiYqne1kXzYQxDTZfKt2g","Barbeque,Restaurants","Monona",43.050444,-89.325618,"Fat Jacks Barbecue","",TRUE,23,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"275","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,NA,NA,"Hld3cjWyfPpW5hDcgXfNQA","Restaurants,Pizza,Italian","Monona",43.0567319,-89.326138,"Angelo's","",TRUE,19,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"291","none","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","quiet",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,FALSE,TRUE,"no","QfCHvy6v39xPH7CvCASlFg","Pizza,Restaurants","Madison",43.0834895,-89.321822,"Buck's Pizza","Lake Edge",TRUE,14,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"301","full_bar","casual",NA,NA,NA,FALSE,"",NA,FALSE,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","very_loud",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,FALSE,TRUE,TRUE,NA,"4pZeC9W0EIiBTOJMnwG2vw","Burgers,American (Traditional),Restaurants","Monona",43.046591,-89.3241561,"Red Robin Gourmet Burgers","",TRUE,30,2.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"304","none","casual",NA,NA,NA,TRUE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}","",1,NA,TRUE,FALSE,FALSE,NA,"no","2aai1pIfThxDTTD_WwXHeA","Chinese,Restaurants","Monona",43.0605902,-89.3260975,"Taste of China","",TRUE,5,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"310","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","loud",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,FALSE,TRUE,FALSE,"no","FIR1SRvSAMNTO3VvNaJn2g","American (Traditional),Restaurants","Madison",43.043925,-89.302571,"Toby's Supper Club","",TRUE,33,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"317","full_bar","casual",FALSE,"yes_free",FALSE,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,FALSE,TRUE,TRUE,NA,"yrBo3c3OTKVO4H1ttBxadw","Event Planning & Services,Venues & Event Spaces,Restaurants","Madison",43.1416538,-89.2854101,"Pooley's","High Crossing",TRUE,16,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"320","full_bar","casual",NA,NA,NA,TRUE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,NA,"R825-NTAI2wG2C4mN-dtNA","American (Traditional),Pizza,Gluten-Free,Restaurants","Madison",43.135442,-89.290761,"Uno Pizzeria & Grill","High Crossing",TRUE,24,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"336","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"no","KPoTixdjoJxSqRSEApSAGg","Thai,Restaurants","Phoenix",33.4779339657,-112.073523642,"Wild Thaiger","",TRUE,281,4,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"343","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",TRUE,"{u'garage': True, u'street': False, u'validated': False, u'lot': False, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"no","e5kc0CQ4R-PCCDgb274gSg","Mexican,Tex-Mex,Restaurants","Phoenix",33.4526031,-112.0691194,"Canyon Cafe","",TRUE,176,3.5,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"356","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': True, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,NA,"",NA,TRUE,"{u'garage': True, u'street': False, u'validated': True, u'lot': False, u'valet': False}","",2,NA,TRUE,FALSE,TRUE,TRUE,NA,"nc3IiY5LNdmEwUZCW84yuA","Pizza,Restaurants","Phoenix",33.4527955,-112.0693177,"Pizzeria Uno","",FALSE,18,2.5,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"364","beer_and_wine","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",1,NA,TRUE,FALSE,FALSE,TRUE,"no","D09yG6Z3gcsh24Qn7Y4gYA","Mexican,Restaurants","Phoenix",33.4657117,-112.0657286,"Chico's Tacos","",TRUE,65,3,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"367","full_bar","casual",FALSE,"no",NA,FALSE,"",TRUE,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",FALSE,TRUE,TRUE,TRUE,"{u'dj': False, u'live': False, u'video': False, u'jukebox': True}","average",TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}","",2,"outdoor",TRUE,FALSE,TRUE,TRUE,"free","j8nyAaN_w5t6wYv-ni23sg","Nightlife,Bars,American (New),Sports Bars,Restaurants","Phoenix",33.443864,-112.070061,"Coach & Willies","",FALSE,79,3,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"370","full_bar","casual",FALSE,"no",FALSE,FALSE,"{u'dairy-free': True, u'gluten-free': False, u'vegan': True, u'kosher': False, u'halal': False, u'soy-free': False, u'vegetarian': True}",NA,NA,"{u'dessert': False, u'latenight': True, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,FALSE,NA,NA,"",NA,TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,NA,"VsO_rhXi5lgbaGxNwoEZsQ","Asian Fusion,Chinese,Restaurants","Phoenix",33.4577071,-112.0686108,"Fate 905","",FALSE,90,3,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"371","full_bar","casual",NA,NA,NA,TRUE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",TRUE,"{u'garage': True, u'street': True, u'validated': True, u'lot': False, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"free","Y293fHh5SZ0_9BZm4M6BCg","Greek,Mexican,Restaurants","Phoenix",33.4492272,-112.0722653,"Matador Restaurant","",FALSE,58,3,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"372","full_bar","casual",NA,"yes_corkage",NA,TRUE,"{u'dairy-free': False, u'gluten-free': False, u'vegan': False, u'kosher': False, u'halal': False, u'soy-free': False, u'vegetarian': True}",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}","",1,NA,TRUE,TRUE,TRUE,TRUE,"free","IceZ4BtTz76eppjNWm-c6A","Greek,Mediterranean,Restaurants","Phoenix",33.4549264,-112.086757,"Paisley Violin","",FALSE,60,3.5,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"379","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,TRUE,"","average",TRUE,"{u'garage': True, u'street': False, u'validated': False, u'lot': False, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"no","-lOSaCuBRAvX5JBifx-EMw","Mexican,Restaurants","Phoenix",33.4527955,-112.0693177,"Mi Amigo's Mexican Grill","",TRUE,93,3,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"382","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",NA,TRUE,NA,FALSE,"","average",FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"no","DlCtdbceo4YNSI53cCL2lg","Restaurants,Italian","Phoenix",33.46425,-112.074153,"The Old Spaghetti Factory","",TRUE,189,3,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"399","full_bar","casual",FALSE,"yes_free",FALSE,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'brunch': False, u'breakfast': False}",NA,TRUE,NA,TRUE,"","loud",TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}","",2,NA,TRUE,TRUE,TRUE,TRUE,"free","gkv2XvXpFgiq4Bb2XK7YmQ","American (Traditional),Restaurants","Phoenix",33.4468850573,-112.071075886,"Hard Rock Cafe","",TRUE,86,3,"AZ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"417","full_bar","casual",NA,NA,NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",FALSE,TRUE,TRUE,TRUE,"{u'dj': False, u'background_music': True, u'karaoke': False, u'live': False, u'video': False, u'jukebox': False}","quiet",TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}","",2,"no",TRUE,TRUE,TRUE,TRUE,"no","muCl5p-9ut1sY0aKeUeRhw","Wine Bars,Bars,American (New),Nightlife,Restaurants","Phoenix",33.463172,-112.074725,"Cheuvront","",FALSE,189,3.5,"AZ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"418","full_bar","casual",FALSE,"no",NA,FALSE,"",NA,NA,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': True, u'breakfast': False, u'brunch': False}",FALSE,TRUE,TRUE,TRUE,"{u'dj': False, u'background_music': True, u'karaoke': False, u'live': False, u'video': False, u'jukebox': False}","loud",TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}","",2,"outdoor",TRUE,TRUE,TRUE,TRUE,"free","oCA2OZcd_Jo_ggVmUx3WVw","Bars,American (Traditional),Nightlife,Sports Bars,Barbeque,Restaurants","Phoenix",33.4448019849,-112.072117722,"Alice Cooper'stown","",TRUE,299,3.5,"AZ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
